"filename", "language", "Python", "Markdown", "JSON with Comments", "JSON", "Batch", "pip requirements", "R Markdown", "HTML", "comment", "blank", "total"
"c:\Users\User\New folder\Game\components\effect.py", "Python", 131, 0, 0, 0, 0, 0, 0, 0, 6, 31, 168
"c:\Users\User\New folder\Game\components\equipment.py", "Python", 309, 0, 0, 0, 0, 0, 0, 0, 89, 95, 493
"c:\Users\User\New folder\Game\components\equippable.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 1, 26, 109
"c:\Users\User\New folder\Game\components\fighter.py", "Python", 254, 0, 0, 0, 0, 0, 0, 0, 53, 75, 382
"c:\Users\User\New folder\Game\components\inventory.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 27, 25, 144
"c:\Users\User\New folder\Game\components\level.py", "Python", 133, 0, 0, 0, 0, 0, 0, 0, 22, 34, 189
"c:\Users\User\New folder\Game\components\names.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 3, 132
"c:\Users\User\New folder\Game\components\spells.py", "Python", 335, 0, 0, 0, 0, 0, 0, 0, 22, 59, 416
"c:\Users\User\New folder\Game\dependencies\roman.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 10, 9, 73
"c:\Users\User\New folder\Game\dungeon_generator_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\enchants.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34
"c:\Users\User\New folder\Game\enemy_spawning.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 20, 23, 104
"c:\Users\User\New folder\Game\engine.py", "Python", 754, 0, 0, 0, 0, 0, 0, 0, 130, 170, 1054
"c:\Users\User\New folder\Game\entity.py", "Python", 717, 0, 0, 0, 0, 0, 0, 0, 72, 108, 897
"c:\Users\User\New folder\Game\entity_factories.py", "Python", 723, 0, 0, 0, 0, 0, 0, 0, 26, 76, 825
"c:\Users\User\New folder\Game\equipment_types.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\User\New folder\Game\equipment_ui.py", "Python", 518, 0, 0, 0, 0, 0, 0, 0, 95, 111, 724
"c:\Users\User\New folder\Game\example_character_mod.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\example_enemy_mod.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 53, 11, 136
"c:\Users\User\New folder\Game\exceptions.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"c:\Users\User\New folder\Game\fontconv.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 2, 6, 20
"c:\Users\User\New folder\Game\game_map.py", "Python", 543, 0, 0, 0, 0, 0, 0, 0, 173, 117, 833
"c:\Users\User\New folder\Game\gametest.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 3, 28, 158
"c:\Users\User\New folder\Game\gpu_stack.py", "Python", 1712, 0, 0, 0, 0, 0, 0, 0, 474, 286, 2472
"c:\Users\User\New folder\Game\img_compiler.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 12, 2, 46
"c:\Users\User\New folder\Game\imgconv.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\User\New folder\Game\input_handlers.py", "Python", 4450, 0, 0, 0, 0, 0, 0, 0, 831, 1056, 6337
"c:\Users\User\New folder\Game\languages.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 31, 19, 175
"c:\Users\User\New folder\Game\liquid_actions.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 9, 15, 72
"c:\Users\User\New folder\Game\liquid_system.py", "Python", 357, 0, 0, 0, 0, 0, 0, 0, 76, 73, 506
"c:\Users\User\New folder\Game\loot_tables.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\User\New folder\Game\loot_tables.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 9, 10, 69
"c:\Users\User\New folder\Game\main.py", "Python", 902, 0, 0, 0, 0, 0, 0, 0, 180, 149, 1231
"c:\Users\User\New folder\Game\message_log.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 8, 15, 77
"c:\Users\User\New folder\Game\procgen.py", "Python", 972, 0, 0, 0, 0, 0, 0, 0, 225, 256, 1453
"c:\Users\User\New folder\Game\procgen_advanced.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\render_functions.py", "Python", 774, 0, 0, 0, 0, 0, 0, 0, 143, 183, 1100
"c:\Users\User\New folder\Game\render_order.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\New folder\Game\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\User\New folder\Game\run_game.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\scalene-profile.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 389074, 14, 32, 389120
"c:\Users\User\New folder\Game\scalene-profile.json", "JSON", 0, 0, 0, 4450, 0, 0, 0, 0, 0, 1, 4451
"c:\Users\User\New folder\Game\settings.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 2, 1, 13
"c:\Users\User\New folder\Game\setup_game.py", "Python", 817, 0, 0, 0, 0, 0, 0, 0, 178, 211, 1206
"c:\Users\User\New folder\Game\sounds.py", "Python", 1392, 0, 0, 0, 0, 0, 0, 0, 367, 341, 2100
"c:\Users\User\New folder\Game\sprite_manager.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 46, 45, 303
"c:\Users\User\New folder\Game\test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\text_engine.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 6, 6, 31
"c:\Users\User\New folder\Game\text_utils.py", "Python", 266, 0, 0, 0, 0, 0, 0, 0, 174, 80, 520
"c:\Users\User\New folder\Game\tile_functions.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 32, 20, 113
"c:\Users\User\New folder\Game\tile_ids.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 21, 6, 31
"c:\Users\User\New folder\Game\tile_types.py", "Python", 291, 0, 0, 0, 0, 0, 0, 0, 29, 63, 383
"c:\Users\User\New folder\Game\turn_manager.py", "Python", 263, 0, 0, 0, 0, 0, 0, 0, 94, 67, 424
"Total", "-", 21879, 539, 10, 949875, 11, 9, 1, 389074, 4433, 5115, 1370946
