Date : 2026-04-02 20:22:03
Directory : c:\Users\User\New folder\Game
Total : 87 files,  1361398 codes, 4433 comments, 5115 blanks, all 1370946 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\New folder\Game\example_enemy_mod.py                                           | Python             |         72 |         53 |         11 |        136 |
| c:\Users\User\New folder\Game\exceptions.py                                                  | Python             |          2 |          5 |          2 |          9 |
| c:\Users\User\New folder\Game\fontconv.py                                                    | Python             |         12 |          2 |          6 |         20 |
| c:\Users\User\New folder\Game\game_map.py                                                    | Python             |        543 |        173 |        117 |        833 |
| c:\Users\User\New folder\Game\gametest.py                                                    | Python             |        127 |          3 |         28 |        158 |
| c:\Users\User\New folder\Game\gpu_stack.py                                                   | Python             |      1,712 |        474 |        286 |      2,472 |
| c:\Users\User\New folder\Game\img_compiler.py                                                | Python             |         32 |         12 |          2 |         46 |
| c:\Users\User\New folder\Game\imgconv.py                                                     | Python             |          7 |          2 |          2 |         11 |
| c:\Users\User\New folder\Game\input_handlers.py                                              | Python             |      4,450 |        831 |      1,056 |      6,337 |
| c:\Users\User\New folder\Game\languages.py                                                   | Python             |        125 |         31 |         19 |        175 |
| c:\Users\User\New folder\Game\liquid_actions.py                                              | Python             |         48 |          9 |         15 |         72 |
| c:\Users\User\New folder\Game\liquid_system.py                                               | Python             |        357 |         76 |         73 |        506 |
| c:\Users\User\New folder\Game\loot_tables.json                                               | JSON               |         22 |          0 |          2 |         24 |
| c:\Users\User\New folder\Game\loot_tables.py                                                 | Python             |         50 |          9 |         10 |         69 |
| c:\Users\User\New folder\Game\main.py                                                        | Python             |        902 |        180 |        149 |      1,231 |
| c:\Users\User\New folder\Game\message_log.py                                                 | Python             |         54 |          8 |         15 |         77 |
| c:\Users\User\New folder\Game\procgen.py                                                     | Python             |        972 |        225 |        256 |      1,453 |
| c:\Users\User\New folder\Game\procgen_advanced.py                                            | Python             |          0 |          0 |          1 |          1 |
| c:\Users\User\New folder\Game\render_functions.py                                            | Python             |        774 |        143 |        183 |      1,100 |
| c:\Users\User\New folder\Game\render_order.py                                                | Python             |          6 |          0 |          1 |          7 |
| c:\Users\User\New folder\Game\requirements.txt                                               | pip requirements   |          9 |          0 |          1 |         10 |
| c:\Users\User\New folder\Game\run_game.py                                                    | Python             |          0 |          0 |          1 |          1 |
| c:\Users\User\New folder\Game\scalene-profile.html                                           | HTML               |    389,074 |         14 |         32 |    389,120 |
| c:\Users\User\New folder\Game\scalene-profile.json                                           | JSON               |      4,450 |          0 |          1 |      4,451 |
| c:\Users\User\New folder\Game\settings.json                                                  | JSON with Comments |         10 |          2 |          1 |         13 |
| c:\Users\User\New folder\Game\setup_game.py                                                  | Python             |        817 |        178 |        211 |      1,206 |
| c:\Users\User\New folder\Game\sounds.py                                                      | Python             |      1,392 |        367 |        341 |      2,100 |
| c:\Users\User\New folder\Game\sprite_manager.py                                              | Python             |        212 |         46 |         45 |        303 |
| c:\Users\User\New folder\Game\test.py                                                        | Python             |          0 |          0 |          1 |          1 |
| c:\Users\User\New folder\Game\text_engine.py                                                 | Python             |         19 |          6 |          6 |         31 |
| c:\Users\User\New folder\Game\text_utils.py                                                  | Python             |        266 |        174 |         80 |        520 |
| c:\Users\User\New folder\Game\tile_functions.py                                              | Python             |         61 |         32 |         20 |        113 |
| c:\Users\User\New folder\Game\tile_ids.py                                                    | Python             |          4 |         21 |          6 |         31 |
| c:\Users\User\New folder\Game\tile_types.py                                                  | Python             |        291 |         29 |         63 |        383 |
| c:\Users\User\New folder\Game\turn_manager.py                                                | Python             |        263 |         94 |         67 |        424 |
| Total                                                                                        |                    |  1,361,398 |      4,433 |      5,115 |  1,370,946 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
