Goblin,Pronunciation,Part of speech,English
gekagk,/ˈgekagk/,n.,character
gekagk houke,/ˈgekagk ˈhou̯ke/,n.,villain
geke,/ˈgeke/,n.,nose; nostril
geke piheda,/ˈgeke piˈheda/,n.,beak
gekg,/gekg/,n.,race (ethnicity); ethnicity
gekgekti,/gekˈgekti/,n.,niece
gekgu,/ˈgekgu/,n.,guest
gekher,/ˈgekher/,n.,brain; wit
geki,/ˈgeki/,n.,art; craft
gekik,/ˈgekik/,n.,truth
gekta,/ˈgekta/,adv.,barely; merely
gektek,/ˈgektek/,n.,reservation
gektik,/ˈgektik/,n.,ray (of light); radius
geku,/ˈgeku/,n.,look; appearance (looks)
gep,/gep/,pron.,someone; somebody
gepe,/ˈgepe/,n.,tradition; ritual
geptud,/ˈgeptud/,n.,blood
gera,/ˈgera/,adj.,important; main
gerat,/ˈgerat/,n.,scale (skin of reptiles)
gerder,/ˈgerder/,n.,economy
geriw,/ˈgeriw/,n.,doll
gerra,/ˈgerra/,v.,torture
geru,/ˈgeru/,n.,brother
get,/get/,v.,should
getgagk,/ˈgetgagk/,n.,matter (substance; material); content
getki,/ˈgetki/,n.,war
getre,/ˈgetre/,adj.,usual
getri,/ˈgetri/,v.,judge
getu,/ˈgetu/,interj.,well
gew,/gew/,n.,student
gewa,/ˈgewa/,n.,evidence; contract
gewe,/ˈgewe/,v.,experience
gewet,/ˈgewet/,n.,cart; wagon
gewi,/ˈgewi/,n.,bed
gewtougk,/ˈgewtou̯gk/,n.,stand
gewu,/ˈgewu/,v.,promise; assure
gi,/gi/,conj.,but
gid,/gid/,n.,effort
gidak,/ˈgidak/,v.,run; work (function)
gidapa,/giˈdapa/,n.,task; chore
gidud,/ˈgidud/,v.,slip
gidwa,/ˈgidwa/,n.,market
gig,/gig/,v.,call (refer to by name); dub
gigk,/gigk/,n.,interest (curiosity; concern)
gik,/gik/,n.,head
gik,/gik/,n.,leader
gike,/ˈgike/,n.,neck
gikh,/gikh/,n.,reversal
giou,/ˈgiou̯/,v.,believe; trust
gip,/gip/,n.,race (competition)
gipre,/ˈgipre/,n.,glue; paste; cement
giprer,/ˈgiprer/,n.,wall
giptep,/ˈgiptep/,n.,cloth; linen; fabric; textile; napkin
gir,/gir/,det.,such
girak,/ˈgirak/,n.,society
girde,/ˈgirde/,n.,screw
girdu,/ˈgirdu/,adj.,slow
girged,/ˈgirged/,v.,crush; grind; crumble
girid,/ˈgirid/,adj.,buxom
git,/git/,conj.,whether
gitar,/ˈgitar/,n.,accent (of language)
gitip,/ˈgitip/,n.,song
gitkeg,/ˈgitkeg/,n.,block; cube
gitou,/ˈgitou̯/,n.,letter (of an alphabet)
gituke,/giˈtuke/,n.,belt; strap
giu,/ˈgiu/,n.,engine; motor
giwik,/ˈgiwik/,adj.,live
giwit,/ˈgiwit/,n.,throat
giwou,/ˈgiwou̯/,n.,threat
giwtetew,/giwˈtetew/,n.,tower
giwu,/ˈgiwu/,n.,siege
gou,/gou̯/,prep.,at
goudig,/ˈgou̯dig/,n.,grocer
goueper,/gou̯ˈeper/,n.,armory
goug,/gou̯g/,adv.,where
gougae,/gou̯ˈgae/,n.,sewer
gougk,/gou̯gk/,adj.,full
gougraw,/ˈgou̯graw/,n.,winery
gougu,/ˈgou̯gu/,adv.,somewhat; fairly; pretty
gouk,/gou̯k/,v.,wait; expect; rely on; predict; hope; anticipate; assume; presume
gouk,/gou̯k/,n.,hope
goukerra,/gou̯ˈkerra/,n.,stable
gouketu,/gou̯ˈketu/,n.,graveyard
goukh,/gou̯kh/,prep.,to; towards
goukiwigk,/gou̯ˈkiwigk/,n.,drugstore
gouktakh,/ˈgou̯ktakh/,v.,graduate
gouku,/ˈgou̯ku/,v.,care
gouku,/ˈgou̯ku/,n.,care
goukuk,/ˈgou̯kuk/,v.,pass; occur
goup,/gou̯p/,v.,deliver
goupuk,/ˈgou̯puk/,det.,whose
gour,/gou̯r/,v.,balance; poise
gourak,/ˈgou̯rak/,adj.,crazy; insane
goutkouk,/ˈgou̯tkou̯k/,v.,dig
gouw,/gou̯w/,n.,unit
gouwa,/ˈgou̯wa/,n.,throne
gouwga,/ˈgou̯wga/,n.,jar; vase
gra,/gra/,prep.,in; within; into
gra,/gra/,pron.,I; me; mine
gra,/gra/,det.,your (pl)
grad,/grad/,n.,rate; grade
grade,/ˈgrade/,v.,bend; fold
grader,/ˈgrader/,n.,staff
gradra,/ˈgradra/,v.,drink
gradra,/ˈgradra/,n.,drink
gradut,/ˈgradut/,n.,dish; plate; bowl; tray; disk; cup; pot; basin; mug; platter
grag,/grag/,n.,bank; stock; fund; arsenal
grag weda,/grag ˈweda/,n.,archive
graga,/ˈgraga/,n.,slope; slant
gragap,/ˈgragap/,n.,daughter
grager,/ˈgrager/,v.,investigate; inspect; examine; interrogate; probe
gragi,/ˈgragi/,n.,edge; limit
gragk,/gragk/,n.,force
gragke,/ˈgragke/,n.,recipe
gragku,/ˈgragku/,v.,worry
gragouk,/ˈgragou̯k/,n.,bell
grai,/ˈgrai/,v.,whistle; hiss
grak,/grak/,adv.,never
grakag,/ˈgrakag/,n.,liver
grakatgougk,/graˈkatgou̯gk/,adj.,lucky
grake,/ˈgrake/,v.,act; behave
grakg,/grakg/,n.,kind; type
grakh,/grakh/,prep.,along
grakhe,/ˈgrakhe/,n.,cheese
graku,/ˈgraku/,v.,support; brace; justify; reinforce
graku,/ˈgraku/,n.,support
grakup,/ˈgrakup/,v.,please
grar,/grar/,n.,situation (circumstances; context)
grar,/grar/,pron.,you all; yours (pl)
grarri,/ˈgrarri/,v.,rub; massage
grat,/grat/,v.,lose
graw,/graw/,n.,wine
grawa,/ˈgrawa/,n.,penis
grawakh,/ˈgrawakh/,v.,request; appeal
grawudwe,/graˈwudwe/,v.,blink
gre,/gre/,pron.,something
gre,/gre/,det.,my
gred,/gred/,adv.,here
gredet,/ˈgredet/,v.,vote
greg,/greg/,v.,like
gregegke,/greˈgegke/,adv.,later
gregep,/ˈgregep/,n.,toy
gregud,/ˈgregud/,n.,athlete
grehwi,/ˈgrehwi/,n.,riot
grek,/grek/,v.,ride
greke,/ˈgreke/,n.,egg
grekh,/grekh/,conj.,until
greku,/ˈgreku/,n.,candle
grep,/grep/,n.,school
grepu,/ˈgrepu/,adj.,stable; steady
grer,/grer/,adv.,off
grera,/ˈgrera/,n.,pile; heap; mound
grerar,/ˈgrerar/,n.,acid
grerek,/ˈgrerek/,v.,invite
grergu,/ˈgrergu/,v.,embrace
gret,/gret/,n.,employee
gretga,/ˈgretga/,v.,bake
gretou,/ˈgretou̯/,n.,bone
greu,/ˈgreu/,n.,rock; stone; mountain; gravel; granite
grew,/grew/,v.,realize
grewa,/ˈgrewa/,n.,pressure
grewad,/ˈgrewad/,adj.,sorry
gri,/gri/,det.,your
grid,/grid/,v.,decide; judge; choose
grigip,/ˈgrigip/,n.,carcass
grigk,/grigk/,adj.,fun
grik,/grik/,v.,keep (save; retain); hold
grike,/ˈgrike/,n.,power
grikg,/grikg/,n.,chemical
grikh,/grikh/,adj.,nice
grikut,/ˈgrikut/,adj.,possible; plausible
gripe,/ˈgripe/,n.,enemy
grir,/grir/,n.,fin (of fish)
grit,/grit/,n.,car
gritek,/ˈgritek/,adj.,pink
griw,/griw/,n.,dungeon
grou,/grou̯/,n.,house; home; tribe
grou hegk,/grou̯ hegk/,n.,library
groud,/grou̯d/,n.,judge
grouk,/grou̯k/,n.,bottle
groukg,/grou̯kg/,n.,ticket; voucher
groukiw,/ˈgrou̯kiw/,v.,throw; hurl; fling; shoot; fire (detonate weapon)
group,/grou̯p/,n.,knot
grout,/grou̯t/,v.,check; review
groutgikger,/grou̯tˈgikger/,n.,breeze
groutkep,/ˈgrou̯tkep/,adj.,only
groutkut,/ˈgrou̯tkut/,v.,cure
grouw,/grou̯w/,n.,hair (of body)
gru,/gru/,prep.,of
grud,/grud/,v.,shock; startle; stun
gruda,/ˈgruda/,adj.,smooth; sleek
grudi,/ˈgrudi/,v.,miss (not hit); miss (not take advantage of)
grug,/grug/,adj.,physical; tangible
grugk,/grugk/,n.,member
gruk,/gruk/,v.,pull; yank; tug
grukh,/grukh/,v.,guess; speculate; estimate; predict
grukh,/grukh/,n.,guess
grukug,/ˈgrukug/,n.,sign; signal; alarm
grupekker,/gruˈpekker/,adj.,green; sick; fresh; blue
grupre,/ˈgrupre/,n.,cousin
grur,/grur/,adj.,best
grura,/ˈgrura/,n.,needle
gruru,/ˈgruru/,v.,nod
gu,/gu/,v.,do; make; produce (manufacture); build; construct; compose; earn; perform; induce
gu ritki,/gu ˈritki/,v.,have sex
guar,/ˈguar/,n.,idiot
gud,/gud/,v.,feel (examine by touch)
guda,/ˈguda/,v.,settle
gudagk,/ˈgudagk/,v.,create; invent; found
gudap,/ˈgudap/,det.,more
gudede,/guˈdede/,n.,period (duration of time); season (quarter of the year)
gudede kiwa,/guˈdede ˈkiwa/,n.,winter
gudou,/ˈgudou̯/,adj.,same
gudru,/ˈgudru/,n.,fan (enthusiast)
gug,/gug/,adj.,loud; noisy
guga,/ˈguga/,n.,article (text)
gugar,/ˈgugar/,n.,list; catalog
guge,/ˈguge/,adj.,regular
gugek,/ˈgugek/,n.,shoe
gugk,/gugk/,prep.,on
gugut,/ˈgugut/,n.,thorn
guhek,/ˈguhek/,det.,which
guhek,/ˈguhek/,pron.,which
guhikh,/ˈguhikh/,n.,item
guhwa,/ˈguhwa/,adj.,old; former
guk,/guk/,n.,sun; day; light
